soil_type,n_ratio,p_ratio,k_ratio,ph_level,avg_temp,avg_humidity,avg_rainfall,water_availability,irrigation_type,land_area,season,crop,age,education,annual_income,farming_experience,agro_climatic_zone,using_uzhavan_app,watch_agri_youtube,in_whatsapp_groups,adoption_level,technologies_used
Alluvial,32,40,27,7.7,18.4,48.0,179.9,Low,Drip,12.5,Rabi,Millets,64,Postgraduate,99363,2,Dry,0,1,1,Medium,"['Greenhouse / Polyhouse', 'Mulching Sheets', 'Uzhavan Mobile App', 'Drip Irrigation', 'Drone Spraying', 'Sprinkler Irrigation', 'Soil Testing Kit']"
Black,130,101,8,7.1,18.5,76.7,190.3,Low,Sprinkler,6.9,Rabi,Millets,34,Diploma,106246,2,Delta,0,1,0,Medium,"['Sprinkler Irrigation', 'Uzhavan Mobile App', 'Soil Testing Kit', 'Mulching Sheets', 'Soil Moisture Sensor']"
Clay,32,15,97,4.9,18.8,62.4,214.4,Low,Drip,9.5,Rabi,Millets,62,Primary,200389,26,Delta,0,1,1,Low,"['Greenhouse / Polyhouse', 'Soil Testing Kit', 'Drip Irrigation', 'Weather Forecast Mobile App']"
Red,93,98,121,6.4,15.8,38.3,179.7,High,Sprinkler,4.0,Kharif,Millets,22,Diploma,680209,11,Hilly,0,0,1,Medium,"['Drone Spraying', 'Farm Mechanization Tools', 'Greenhouse / Polyhouse', 'Uzhavan Mobile App', 'Soil Testing Kit']"
Red,130,11,163,8.2,27.9,78.0,44.3,High,Rainfed,6.5,Kharif,Millets,24,Higher Secondary,150485,43,Dry,1,1,0,Medium,"['Mulching Sheets', 'Soil Moisture Sensor', 'Drip Irrigation', 'Greenhouse / Polyhouse', 'Sprinkler Irrigation', 'Soil Testing Kit', 'Uzhavan Mobile App']"
Black,89,103,85,5.9,15.7,47.8,288.6,Low,Sprinkler,12.0,Rabi,Millets,26,No Formal,632562,47,Hilly,0,1,0,Medium,"['Soil Testing Kit', 'Uzhavan Mobile App', 'Greenhouse / Polyhouse']"
Red,80,85,115,4.4,25.6,39.2,117.7,High,Borewell,14.0,Rabi,Millets,54,Middle,918776,20,Dry,0,0,0,Medium,"['Farm Mechanization Tools', 'Mulching Sheets', 'Drip Irrigation', 'Sprinkler Irrigation']"
Black,56,64,114,5.0,24.9,37.0,222.2,Medium,Borewell,16.6,Kharif,Millets,21,High,847878,1,Delta,0,1,0,Medium,"['Greenhouse / Polyhouse', 'Mulching Sheets', 'Soil Testing Kit', 'Drip Irrigation', 'Uzhavan Mobile App', 'Soil Moisture Sensor', 'Farm Mechanization Tools']"
Alluvial,23,100,44,8.6,25.3,35.2,175.7,Low,Rainfed,9.4,Rabi,Millets,41,Middle,773471,10,Dry,1,1,0,Medium,"['Soil Moisture Sensor', 'Weather Forecast Mobile App', 'Drip Irrigation', 'Greenhouse / Polyhouse', 'Mulching Sheets', 'Drone Spraying']"
Red,73,78,23,6.7,18.4,40.3,103.5,Medium,Rainfed,9.5,Rabi,Millets,45,Middle,634074,3,Delta,0,0,0,Low,"['Uzhavan Mobile App', 'Drip Irrigation', 'Soil Moisture Sensor', 'Sprinkler Irrigation']"
Red,120,14,52,4.7,22.6,82.4,201.5,High,Borewell,11.9,Rabi,Millets,19,Degree,626280,27,Delta,0,0,1,Medium,"['Uzhavan Mobile App', 'Mulching Sheets', 'Soil Moisture Sensor', 'Drone Spraying', 'Greenhouse / Polyhouse', 'Weather Forecast Mobile App']"
Red,43,88,114,5.7,31.6,51.6,201.1,Medium,Sprinkler,1.4,Rabi,Millets,28,Primary,736657,23,Hilly,1,1,1,Medium,"['Soil Testing Kit', 'Sprinkler Irrigation', 'Greenhouse / Polyhouse', 'Farm Mechanization Tools', 'Uzhavan Mobile App']"
Alluvial,41,39,118,6.0,36.4,79.9,208.4,High,Rainfed,1.9,Kharif,Millets,69,Postgraduate,244355,5,Delta,1,0,0,Medium,"['Weather Forecast Mobile App', 'Soil Moisture Sensor', 'Drone Spraying', 'Farm Mechanization Tools', 'Greenhouse / Polyhouse']"
Black,73,15,119,5.7,35.4,54.9,248.8,Low,Borewell,8.6,Kharif,Millets,54,Middle,945711,34,Coastal,1,0,0,Medium,"['Drone Spraying', 'Weather Forecast Mobile App', 'Sprinkler Irrigation', 'Drip Irrigation', 'Soil Testing Kit']"
Clay,16,137,197,5.5,17.7,53.4,277.9,Low,Canal,13.7,Kharif,Millets,55,No Formal,145164,33,Hilly,1,1,1,Medium,"['Drip Irrigation', 'Uzhavan Mobile App', 'Soil Moisture Sensor', 'Sprinkler Irrigation', 'Drone Spraying', 'Farm Mechanization Tools']"
Alluvial,13,91,186,3.9,38.4,37.4,70.5,Medium,Sprinkler,3.8,Kharif,Millets,56,Higher Secondary,59064,22,Delta,0,1,1,Medium,"['Greenhouse / Polyhouse', 'Uzhavan Mobile App', 'Soil Moisture Sensor', 'Mulching Sheets']"
Red,46,12,84,9.6,32.8,85.9,215.6,Low,Canal,13.7,Kharif,Millets,38,Primary,833129,13,Dry,0,0,0,Low,"['Soil Moisture Sensor', 'Greenhouse / Polyhouse']"
Red,32,106,121,8.3,30.6,24.6,69.0,Medium,Borewell,13.1,Kharif,Millets,57,Postgraduate,413085,6,Dry,0,1,0,Low,"['Farm Mechanization Tools', 'Drone Spraying', 'Mulching Sheets', 'Sprinkler Irrigation']"
Alluvial,21,134,45,6.1,28.6,49.3,281.0,High,Rainfed,5.6,Kharif,Millets,55,High,393341,11,Delta,1,1,0,Medium,"['Farm Mechanization Tools', 'Soil Testing Kit', 'Mulching Sheets', 'Drip Irrigation', 'Uzhavan Mobile App']"
Sandy,5,89,27,9.7,27.6,88.1,113.6,Low,Drip,17.9,Kharif,Millets,31,No Formal,440367,1,Hilly,1,1,1,Medium,"['Sprinkler Irrigation', 'Mulching Sheets', 'Soil Moisture Sensor', 'Farm Mechanization Tools', 'Greenhouse / Polyhouse']"
Red,134,91,160,7.5,15.1,43.1,220.8,High,Borewell,16.6,Rabi,Millets,28,Higher Secondary,206739,17,Delta,0,1,1,Medium,"['Sprinkler Irrigation', 'Greenhouse / Polyhouse', 'Drip Irrigation', 'Farm Mechanization Tools', 'Drone Spraying']"
Black,9,137,89,8.1,20.0,85.1,207.6,High,Canal,14.9,Rabi,Sugarcane,35,Primary,115604,24,Dry,1,0,1,Low,"['Farm Mechanization Tools', 'Soil Testing Kit', 'Drip Irrigation', 'Greenhouse / Polyhouse', 'Weather Forecast Mobile App']"
Red,0,46,88,8.3,16.9,91.4,24.3,Low,Borewell,3.3,Rabi,Millets,50,No Formal,264327,38,Dry,0,1,1,Low,['Farm Mechanization Tools']
Sandy,35,93,103,4.7,38.3,21.6,93.7,Low,Rainfed,4.1,Rabi,Millets,18,Postgraduate,769565,21,Hilly,1,1,1,High,"['Drone Spraying', 'Greenhouse / Polyhouse', 'Uzhavan Mobile App', 'Weather Forecast Mobile App', 'Mulching Sheets', 'Farm Mechanization Tools', 'Soil Moisture Sensor', 'Soil Testing Kit']"
Alluvial,128,123,54,5.2,30.8,30.4,144.2,Medium,Borewell,2.8,Kharif,Millets,25,Higher Secondary,651114,17,Delta,0,0,1,Medium,"['Sprinkler Irrigation', 'Uzhavan Mobile App', 'Soil Testing Kit', 'Farm Mechanization Tools', 'Mulching Sheets']"
Red,6,45,136,6.6,25.4,91.4,290.8,High,Rainfed,2.9,Kharif,Millets,70,No Formal,743886,11,Delta,1,1,1,Medium,"['Soil Moisture Sensor', 'Drip Irrigation', 'Soil Testing Kit', 'Uzhavan Mobile App', 'Weather Forecast Mobile App']"
Alluvial,118,71,180,9.2,38.1,81.6,170.9,High,Rainfed,12.5,Kharif,Millets,71,Degree,484532,23,Hilly,0,1,1,Medium,"['Weather Forecast Mobile App', 'Mulching Sheets', 'Drip Irrigation', 'Soil Testing Kit', 'Soil Moisture Sensor', 'Drone Spraying', 'Sprinkler Irrigation']"
Clay,55,139,20,5.1,23.5,80.6,151.4,Low,Borewell,16.5,Kharif,Millets,50,Diploma,592437,38,Hilly,1,0,0,Medium,"['Sprinkler Irrigation', 'Drone Spraying', 'Weather Forecast Mobile App', 'Soil Moisture Sensor', 'Mulching Sheets', 'Uzhavan Mobile App']"
Sandy,37,31,162,7.1,30.0,94.9,157.1,Medium,Sprinkler,1.3,Rabi,Millets,61,High,290463,11,Coastal,0,0,0,Low,['Soil Moisture Sensor']
Sandy,38,108,76,9.4,36.2,31.6,28.2,Low,Drip,10.0,Kharif,Millets,42,Diploma,868567,6,Dry,1,1,0,High,"['Soil Testing Kit', 'Drip Irrigation', 'Greenhouse / Polyhouse', 'Drone Spraying', 'Farm Mechanization Tools', 'Weather Forecast Mobile App', 'Mulching Sheets', 'Soil Moisture Sensor']"
Red,85,116,139,7.5,37.0,88.9,58.3,High,Canal,1.4,Kharif,Millets,62,Postgraduate,893230,12,Delta,0,1,0,Medium,"['Sprinkler Irrigation', 'Mulching Sheets', 'Weather Forecast Mobile App', 'Soil Testing Kit', 'Drone Spraying', 'Uzhavan Mobile App']"
Black,89,43,201,5.0,27.3,88.6,201.6,Low,Rainfed,7.8,Kharif,Millets,67,Postgraduate,497038,12,Coastal,1,0,0,Medium,"['Greenhouse / Polyhouse', 'Soil Testing Kit', 'Mulching Sheets', 'Uzhavan Mobile App', 'Soil Moisture Sensor', 'Drip Irrigation']"
Alluvial,102,41,67,5.3,25.4,67.8,70.1,Medium,Rainfed,17.4,Kharif,Millets,72,Degree,165568,36,Coastal,0,1,1,Medium,"['Soil Moisture Sensor', 'Sprinkler Irrigation', 'Mulching Sheets', 'Soil Testing Kit', 'Drip Irrigation']"
Alluvial,46,74,73,8.1,26.5,37.4,195.5,Medium,Canal,13.9,Rabi,Millets,26,Middle,134450,45,Coastal,0,1,0,Low,"['Drip Irrigation', 'Drone Spraying', 'Soil Moisture Sensor']"
Red,46,63,104,7.7,19.0,77.8,68.5,High,Borewell,8.2,Kharif,Millets,31,Postgraduate,708465,38,Hilly,1,1,1,High,"['Weather Forecast Mobile App', 'Farm Mechanization Tools', 'Drip Irrigation', 'Drone Spraying', 'Soil Moisture Sensor', 'Greenhouse / Polyhouse', 'Mulching Sheets', 'Soil Testing Kit', 'Sprinkler Irrigation', 'Uzhavan Mobile App']"
Alluvial,96,28,16,5.4,18.5,24.0,96.8,Low,Borewell,3.5,Kharif,Millets,23,Middle,294853,10,Dry,0,1,1,Low,"['Drip Irrigation', 'Drone Spraying', 'Mulching Sheets', 'Sprinkler Irrigation', 'Soil Moisture Sensor']"
Sandy,100,117,176,4.1,39.4,88.6,240.2,Low,Sprinkler,2.8,Kharif,Millets,18,High,968039,16,Dry,0,1,1,Medium,"['Greenhouse / Polyhouse', 'Sprinkler Irrigation', 'Weather Forecast Mobile App', 'Uzhavan Mobile App', 'Drip Irrigation', 'Soil Moisture Sensor']"
Black,31,28,97,5.3,23.7,40.5,249.2,Low,Sprinkler,2.5,Rabi,Millets,67,Middle,461000,32,Dry,1,0,0,Low,"['Uzhavan Mobile App', 'Drip Irrigation']"
Black,8,138,128,8.0,24.0,24.7,250.1,Low,Rainfed,19.6,Rabi,Millets,62,High,187553,29,Hilly,1,1,1,Medium,"['Farm Mechanization Tools', 'Sprinkler Irrigation', 'Drone Spraying', 'Greenhouse / Polyhouse', 'Weather Forecast Mobile App', 'Mulching Sheets', 'Uzhavan Mobile App', 'Soil Testing Kit']"
Black,120,44,160,5.8,18.6,42.6,180.8,Low,Rainfed,19.1,Rabi,Millets,49,Primary,496742,11,Delta,1,1,0,Medium,"['Mulching Sheets', 'Sprinkler Irrigation', 'Drone Spraying', 'Uzhavan Mobile App', 'Greenhouse / Polyhouse', 'Soil Testing Kit']"
Sandy,21,121,37,8.9,18.1,63.3,22.9,High,Rainfed,7.7,Kharif,Millets,21,No Formal,957493,1,Coastal,0,1,0,Medium,"['Soil Moisture Sensor', 'Drone Spraying', 'Mulching Sheets', 'Drip Irrigation']"
Clay,60,29,91,6.2,24.0,30.3,237.6,Medium,Drip,7.4,Rabi,Millets,47,Primary,232680,9,Hilly,1,1,1,Medium,"['Weather Forecast Mobile App', 'Greenhouse / Polyhouse', 'Drone Spraying', 'Sprinkler Irrigation']"
Clay,83,40,155,9.5,31.6,23.2,144.1,Low,Rainfed,15.5,Kharif,Millets,18,High,669527,48,Hilly,0,1,1,High,"['Mulching Sheets', 'Farm Mechanization Tools', 'Soil Moisture Sensor', 'Sprinkler Irrigation', 'Drip Irrigation', 'Greenhouse / Polyhouse', 'Uzhavan Mobile App', 'Drone Spraying']"
Clay,108,69,168,4.7,33.9,82.7,92.8,High,Drip,9.6,Rabi,Paddy,63,No Formal,880286,2,Hilly,0,1,0,Medium,"['Sprinkler Irrigation', 'Uzhavan Mobile App', 'Soil Testing Kit', 'Farm Mechanization Tools', 'Mulching Sheets']"
Sandy,73,73,179,4.8,37.1,56.9,192.2,Low,Borewell,2.2,Rabi,Millets,61,High,859608,34,Coastal,0,1,0,Medium,"['Greenhouse / Polyhouse', 'Soil Testing Kit', 'Uzhavan Mobile App', 'Mulching Sheets', 'Farm Mechanization Tools', 'Sprinkler Irrigation']"
Red,105,80,121,4.0,35.9,94.0,137.7,Medium,Sprinkler,12.4,Kharif,Millets,58,Higher Secondary,539272,14,Coastal,0,1,0,Medium,"['Drip Irrigation', 'Sprinkler Irrigation', 'Soil Moisture Sensor', 'Farm Mechanization Tools', 'Greenhouse / Polyhouse', 'Mulching Sheets', 'Soil Testing Kit']"
Alluvial,117,48,188,6.8,37.6,35.2,202.2,Medium,Rainfed,11.7,Kharif,Millets,32,Middle,377587,21,Delta,0,1,0,Low,"['Drone Spraying', 'Drip Irrigation']"
Black,135,95,20,4.3,32.1,53.9,118.1,Low,Borewell,3.6,Rabi,Millets,57,Middle,607591,34,Dry,1,0,0,Medium,"['Mulching Sheets', 'Drip Irrigation', 'Farm Mechanization Tools', 'Soil Moisture Sensor']"
Black,66,35,123,5.1,31.2,70.5,38.2,High,Sprinkler,7.0,Kharif,Sugarcane,24,Postgraduate,841168,11,Hilly,1,1,1,High,"['Soil Moisture Sensor', 'Mulching Sheets', 'Soil Testing Kit', 'Drone Spraying', 'Uzhavan Mobile App', 'Drip Irrigation', 'Greenhouse / Polyhouse', 'Sprinkler Irrigation']"
Clay,74,73,171,9.6,23.0,64.1,231.8,Low,Drip,14.4,Rabi,Millets,31,Middle,191483,46,Delta,0,1,1,Medium,"['Weather Forecast Mobile App', 'Soil Testing Kit', 'Sprinkler Irrigation']"
Clay,36,128,29,3.7,34.2,63.2,168.6,High,Rainfed,3.7,Rabi,Paddy,35,Diploma,74605,31,Delta,0,0,0,Low,"['Soil Testing Kit', 'Mulching Sheets']"
Sandy,89,121,46,4.0,29.4,90.1,100.6,High,Borewell,15.8,Kharif,Millets,29,Degree,589338,11,Dry,0,1,0,Medium,"['Weather Forecast Mobile App', 'Soil Testing Kit', 'Farm Mechanization Tools', 'Greenhouse / Polyhouse', 'Drip Irrigation', 'Drone Spraying']"
Clay,48,143,92,6.7,26.2,26.0,276.6,Medium,Canal,9.6,Kharif,Millets,54,Middle,132124,7,Delta,0,1,0,Low,"['Drip Irrigation', 'Soil Testing Kit', 'Greenhouse / Polyhouse']"
Clay,77,37,35,8.4,33.8,68.9,212.4,Medium,Borewell,9.1,Rabi,Millets,55,Degree,711931,11,Dry,0,0,0,Medium,"['Drip Irrigation', 'Mulching Sheets', 'Greenhouse / Polyhouse', 'Soil Moisture Sensor', 'Sprinkler Irrigation', 'Uzhavan Mobile App']"
Alluvial,118,139,94,4.8,17.8,82.0,47.9,Medium,Sprinkler,19.9,Rabi,Millets,58,Higher Secondary,353523,35,Delta,0,0,0,Low,"['Greenhouse / Polyhouse', 'Weather Forecast Mobile App', 'Mulching Sheets']"
Alluvial,50,68,42,5.1,17.2,43.4,119.4,Medium,Sprinkler,17.8,Rabi,Millets,44,Primary,516677,14,Coastal,1,0,1,Medium,"['Farm Mechanization Tools', 'Weather Forecast Mobile App', 'Uzhavan Mobile App', 'Drip Irrigation', 'Greenhouse / Polyhouse']"
Black,81,91,99,5.5,23.8,51.4,26.6,Low,Rainfed,12.1,Kharif,Millets,44,No Formal,538238,16,Hilly,1,1,0,Medium,"['Drone Spraying', 'Sprinkler Irrigation', 'Farm Mechanization Tools', 'Greenhouse / Polyhouse']"
Sandy,11,73,66,6.4,19.2,78.8,80.0,Low,Canal,16.6,Kharif,Millets,18,Primary,539442,4,Hilly,0,1,0,Medium,"['Drip Irrigation', 'Soil Moisture Sensor', 'Soil Testing Kit']"
Black,43,144,44,4.3,36.1,33.4,272.4,High,Drip,14.0,Kharif,Sugarcane,21,Middle,768298,11,Hilly,1,0,1,Medium,"['Weather Forecast Mobile App', 'Sprinkler Irrigation', 'Uzhavan Mobile App', 'Drip Irrigation', 'Soil Moisture Sensor', 'Drone Spraying', 'Soil Testing Kit']"
Sandy,44,86,171,3.6,16.9,75.9,231.2,Low,Borewell,19.0,Rabi,Millets,34,Primary,829160,40,Delta,0,1,0,Medium,"['Drone Spraying', 'Mulching Sheets', 'Drip Irrigation', 'Sprinkler Irrigation', 'Farm Mechanization Tools']"
Red,97,80,51,9.0,21.2,31.2,280.4,Medium,Drip,17.5,Kharif,Millets,37,High,86095,10,Dry,1,0,1,Medium,"['Mulching Sheets', 'Farm Mechanization Tools', 'Sprinkler Irrigation', 'Drone Spraying', 'Drip Irrigation']"
Red,52,76,72,5.5,39.5,24.4,232.5,Medium,Drip,3.0,Rabi,Millets,28,High,137077,38,Delta,0,0,0,Low,"['Uzhavan Mobile App', 'Drone Spraying', 'Weather Forecast Mobile App']"
Sandy,50,34,45,4.0,15.5,37.9,187.2,Medium,Canal,17.2,Rabi,Millets,18,Primary,673685,47,Coastal,1,0,1,Medium,"['Uzhavan Mobile App', 'Soil Moisture Sensor', 'Soil Testing Kit', 'Greenhouse / Polyhouse', 'Drip Irrigation', 'Drone Spraying']"
Alluvial,18,101,166,6.4,24.8,54.6,212.0,High,Sprinkler,2.9,Kharif,Millets,59,Diploma,96700,16,Delta,0,0,1,Medium,"['Soil Moisture Sensor', 'Greenhouse / Polyhouse', 'Drip Irrigation']"
Sandy,120,136,136,8.2,31.1,30.5,133.4,Medium,Sprinkler,17.6,Kharif,Millets,41,Middle,141640,15,Coastal,0,1,0,Low,"['Uzhavan Mobile App', 'Greenhouse / Polyhouse', 'Soil Moisture Sensor', 'Farm Mechanization Tools']"
Clay,55,139,68,7.4,35.3,47.5,52.5,Medium,Rainfed,0.7,Kharif,Millets,54,Degree,840804,46,Delta,0,0,1,Medium,"['Weather Forecast Mobile App', 'Drone Spraying', 'Sprinkler Irrigation', 'Soil Moisture Sensor', 'Mulching Sheets']"
Sandy,40,94,191,8.9,20.3,28.0,84.4,Medium,Canal,17.0,Rabi,Millets,56,Middle,769905,18,Coastal,0,1,1,High,"['Drip Irrigation', 'Sprinkler Irrigation', 'Farm Mechanization Tools', 'Uzhavan Mobile App', 'Mulching Sheets', 'Drone Spraying', 'Soil Moisture Sensor']"
Clay,28,51,24,5.1,21.0,59.3,119.2,Low,Borewell,11.8,Kharif,Millets,32,Higher Secondary,752322,19,Dry,0,1,0,Medium,"['Weather Forecast Mobile App', 'Farm Mechanization Tools', 'Greenhouse / Polyhouse', 'Soil Testing Kit', 'Drip Irrigation', 'Drone Spraying']"
Clay,64,143,72,9.7,34.0,45.2,64.7,Medium,Sprinkler,17.6,Kharif,Millets,32,Diploma,478381,2,Delta,1,1,0,Medium,"['Mulching Sheets', 'Weather Forecast Mobile App', 'Soil Moisture Sensor', 'Drone Spraying', 'Greenhouse / Polyhouse', 'Uzhavan Mobile App']"
Alluvial,47,20,195,5.1,27.9,82.6,232.4,High,Canal,0.7,Kharif,Millets,29,Primary,230049,37,Dry,1,0,1,Medium,"['Farm Mechanization Tools', 'Mulching Sheets', 'Soil Moisture Sensor']"
Sandy,94,76,80,7.2,21.5,26.8,283.1,Low,Canal,6.0,Rabi,Millets,54,Postgraduate,756092,5,Hilly,1,1,0,High,"['Uzhavan Mobile App', 'Soil Moisture Sensor', 'Soil Testing Kit', 'Greenhouse / Polyhouse', 'Farm Mechanization Tools', 'Weather Forecast Mobile App', 'Mulching Sheets']"
Sandy,95,129,166,7.8,35.8,34.6,114.9,High,Rainfed,3.6,Rabi,Millets,52,Degree,295343,44,Dry,0,1,0,Low,"['Drone Spraying', 'Sprinkler Irrigation', 'Soil Moisture Sensor', 'Farm Mechanization Tools', 'Weather Forecast Mobile App']"
Sandy,90,34,7,9.9,36.4,25.2,139.6,High,Borewell,1.9,Rabi,Millets,70,Primary,892064,5,Hilly,0,1,0,Low,"['Mulching Sheets', 'Soil Moisture Sensor', 'Soil Testing Kit']"
Alluvial,69,98,120,7.9,15.1,63.2,118.9,High,Canal,13.6,Kharif,Millets,43,Diploma,732461,7,Hilly,0,1,0,Medium,"['Drip Irrigation', 'Mulching Sheets', 'Sprinkler Irrigation', 'Greenhouse / Polyhouse', 'Soil Testing Kit', 'Uzhavan Mobile App']"
Red,0,49,85,8.7,36.2,35.1,263.7,Medium,Drip,13.6,Kharif,Millets,52,Postgraduate,645558,34,Dry,0,0,0,Medium,"['Drone Spraying', 'Drip Irrigation', 'Farm Mechanization Tools', 'Mulching Sheets', 'Uzhavan Mobile App']"
Alluvial,135,93,97,8.9,25.4,54.4,234.7,High,Rainfed,9.9,Kharif,Millets,49,Higher Secondary,493297,35,Dry,0,1,1,Medium,"['Greenhouse / Polyhouse', 'Farm Mechanization Tools', 'Drone Spraying', 'Soil Testing Kit', 'Mulching Sheets']"
Sandy,130,19,164,5.5,23.3,80.6,66.1,Medium,Rainfed,18.7,Kharif,Millets,19,Middle,424407,14,Hilly,0,1,0,Low,"['Sprinkler Irrigation', 'Weather Forecast Mobile App', 'Farm Mechanization Tools', 'Uzhavan Mobile App']"
Alluvial,50,106,42,4.6,36.4,86.6,160.9,High,Drip,7.8,Kharif,Millets,23,Postgraduate,351311,23,Coastal,1,0,1,Medium,"['Drip Irrigation', 'Drone Spraying', 'Sprinkler Irrigation', 'Farm Mechanization Tools', 'Mulching Sheets', 'Soil Moisture Sensor', 'Weather Forecast Mobile App', 'Greenhouse / Polyhouse']"
Sandy,33,16,34,7.9,21.8,61.4,292.9,Medium,Sprinkler,8.2,Kharif,Millets,58,High,59866,29,Dry,1,0,0,Medium,"['Soil Testing Kit', 'Mulching Sheets', 'Soil Moisture Sensor', 'Uzhavan Mobile App']"
Alluvial,94,7,74,4.5,19.4,48.6,121.5,High,Canal,12.4,Kharif,Millets,52,Postgraduate,893421,42,Coastal,0,0,0,Medium,"['Farm Mechanization Tools', 'Soil Testing Kit', 'Sprinkler Irrigation', 'Soil Moisture Sensor', 'Uzhavan Mobile App']"
Black,105,98,166,5.7,30.1,44.6,192.8,Medium,Drip,8.5,Kharif,Millets,53,Higher Secondary,495203,16,Hilly,1,1,0,Medium,"['Uzhavan Mobile App', 'Farm Mechanization Tools', 'Mulching Sheets', 'Soil Testing Kit', 'Sprinkler Irrigation']"
Sandy,96,107,149,8.7,15.2,94.2,105.4,Medium,Rainfed,5.5,Kharif,Millets,51,Middle,830781,40,Coastal,0,1,0,Medium,"['Drip Irrigation', 'Drone Spraying', 'Soil Moisture Sensor', 'Sprinkler Irrigation', 'Uzhavan Mobile App']"
Clay,73,45,27,5.9,23.0,51.2,277.5,High,Canal,1.7,Rabi,Paddy,57,Postgraduate,858397,13,Delta,0,1,1,Medium,"['Soil Testing Kit', 'Sprinkler Irrigation', 'Drip Irrigation', 'Greenhouse / Polyhouse', 'Uzhavan Mobile App', 'Weather Forecast Mobile App']"
Black,93,34,71,7.6,34.4,62.2,239.7,High,Sprinkler,10.9,Kharif,Sugarcane,30,No Formal,418469,3,Dry,0,0,0,Low,['Greenhouse / Polyhouse']
Sandy,86,23,130,3.6,39.2,86.2,218.4,Medium,Canal,10.4,Rabi,Millets,30,Higher Secondary,550090,15,Coastal,1,0,0,Medium,"['Soil Testing Kit', 'Mulching Sheets', 'Uzhavan Mobile App', 'Drone Spraying', 'Weather Forecast Mobile App', 'Soil Moisture Sensor', 'Farm Mechanization Tools']"
Clay,136,54,8,3.8,29.7,93.1,157.3,Medium,Borewell,2.7,Kharif,Millets,61,Middle,51371,8,Hilly,0,0,0,Low,"['Drone Spraying', 'Farm Mechanization Tools']"
Black,64,5,16,6.6,30.6,76.3,124.5,High,Borewell,17.2,Rabi,Sugarcane,41,Diploma,365868,38,Delta,0,1,1,Medium,"['Sprinkler Irrigation', 'Weather Forecast Mobile App', 'Farm Mechanization Tools', 'Uzhavan Mobile App', 'Soil Testing Kit', 'Drip Irrigation']"
Red,93,118,136,8.2,32.8,46.7,69.5,High,Borewell,2.7,Rabi,Millets,45,Degree,682966,19,Hilly,0,0,0,Medium,"['Weather Forecast Mobile App', 'Farm Mechanization Tools', 'Mulching Sheets', 'Sprinkler Irrigation']"
Black,110,7,107,8.0,27.8,53.5,62.6,Low,Sprinkler,9.8,Kharif,Millets,68,Higher Secondary,169350,10,Dry,0,1,0,Medium,"['Weather Forecast Mobile App', 'Drone Spraying', 'Mulching Sheets', 'Farm Mechanization Tools', 'Drip Irrigation']"
Alluvial,67,83,114,8.1,19.3,72.8,294.7,Low,Rainfed,16.1,Kharif,Millets,72,No Formal,437326,31,Hilly,0,1,0,Low,"['Drip Irrigation', 'Farm Mechanization Tools']"
Black,78,58,110,4.9,20.9,39.7,111.2,High,Sprinkler,7.0,Rabi,Sugarcane,38,High,737591,23,Dry,0,1,0,Medium,"['Soil Testing Kit', 'Drone Spraying', 'Weather Forecast Mobile App', 'Soil Moisture Sensor', 'Uzhavan Mobile App']"
Sandy,109,112,20,6.4,31.6,53.6,224.4,Low,Borewell,5.3,Kharif,Millets,31,Primary,942899,13,Coastal,0,0,1,Medium,"['Drip Irrigation', 'Soil Moisture Sensor', 'Drone Spraying', 'Sprinkler Irrigation', 'Farm Mechanization Tools']"
Sandy,37,47,45,7.9,33.9,65.6,139.1,High,Borewell,10.5,Kharif,Millets,30,Postgraduate,496865,15,Delta,0,1,0,Medium,"['Mulching Sheets', 'Farm Mechanization Tools', 'Weather Forecast Mobile App', 'Sprinkler Irrigation', 'Soil Moisture Sensor', 'Drip Irrigation']"
Black,123,110,44,4.7,28.4,59.5,261.4,Low,Canal,5.3,Rabi,Millets,50,Postgraduate,367339,7,Hilly,0,1,1,Medium,"['Greenhouse / Polyhouse', 'Soil Moisture Sensor', 'Farm Mechanization Tools', 'Mulching Sheets', 'Weather Forecast Mobile App', 'Soil Testing Kit', 'Drip Irrigation']"
Red,83,104,97,4.3,24.6,75.4,62.8,Medium,Borewell,17.5,Kharif,Millets,58,High,677186,4,Delta,1,1,0,High,"['Mulching Sheets', 'Drip Irrigation', 'Sprinkler Irrigation', 'Drone Spraying', 'Farm Mechanization Tools', 'Soil Moisture Sensor', 'Greenhouse / Polyhouse', 'Uzhavan Mobile App']"
Sandy,86,55,28,3.6,31.2,31.0,187.0,High,Sprinkler,11.8,Kharif,Millets,27,Postgraduate,925095,11,Coastal,1,0,1,High,"['Weather Forecast Mobile App', 'Soil Moisture Sensor', 'Drone Spraying', 'Sprinkler Irrigation', 'Farm Mechanization Tools', 'Greenhouse / Polyhouse', 'Soil Testing Kit', 'Uzhavan Mobile App']"
Sandy,99,91,109,4.3,33.2,35.5,183.1,High,Canal,17.0,Kharif,Millets,36,High,241617,3,Hilly,1,1,0,Medium,"['Weather Forecast Mobile App', 'Sprinkler Irrigation', 'Drip Irrigation', 'Drone Spraying']"
